FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_18f8bd049eb_-6eb7,POINT (4.358 50.797),6447,2024-03-12T15:40:00,1001.24,8.28,95.89,0.28,,179,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eb6,POINT (4.358 50.797),6447,2024-03-12T15:50:00,1001.15,8.2,96.1,0.33,,178.5,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eb5,POINT (4.358 50.797),6447,2024-03-12T16:00:00,1001.07,8.2,96.59,0.27,,187.1,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eb4,POINT (4.358 50.797),6447,2024-03-12T16:10:00,1000.94,8.23,96.59,0.2,,183.1,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eb3,POINT (4.358 50.797),6447,2024-03-12T16:20:00,1000.79,8.28,96.92,0.22,,188.7,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eb2,POINT (4.358 50.797),6447,2024-03-12T16:30:00,1000.78,8.37,97.05,0.23,,195.8,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eb1,POINT (4.358 50.797),6447,2024-03-12T16:40:00,1000.79,8.44,97.38,0.23,,197.6,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eb0,POINT (4.358 50.797),6447,2024-03-12T16:50:00,1000.72,8.5,97.21,0.22,,197.7,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eaf,POINT (4.358 50.797),6447,2024-03-12T17:00:00,1000.76,8.57,97.41,0.24,,197.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eae,POINT (4.358 50.797),6447,2024-03-12T17:10:00,1000.76,8.59,98,0.29,,199.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
